Animal..,ARN,Species,Primary.Breed,Colors,Gender,Altered,Pre.Altered,Chip.Provider,Danger,Danger.Reason,Date.of.Birth,Intake.Age,Intake.By,Intake.Date,Intake.Type,Intake.Subtype,Intake.Reason,Intake.Site,Intake.Location,Intake.Sublocation,Intake.Jurisdiction,Intake.Condition,Intake.Agency,Agency.Member,Agency.Member.Phone,Agency.Address,Outcome.Age,Outcome.Age.in.Months,Outcome.Date,Outcome.By,Outcome.Type,Outcome.Subtype,Outcome.Site,Outcome.Location,Outcome.Sublocation,Outcome.Jurisdiction,Transfer.Out.Reason,Outcome.Agency,Released.By,Release.Date,LOS
A38277261,,Cat,Domestic Shorthair,White/Orange,Male,Yes,No,24PetWatch,No,NA,10/11/2017,6m 0d,Michelle Robinson,4/11/2018 12:19:47 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,6m 1d,6,4/12/2018 12:58:51 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,4/12/2018 12:58:51 PM,1
A38277559,,Cat,Domestic Shorthair,Black/White,Female,Yes,No,24PetWatch,No,NA,3/29/2014,4y 13d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4y 2m 3d,50,6/1/2018 5:16:02 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,6/1/2018 5:16:02 PM,51
A38277562,,Cat,Domestic Shorthair,Black/Black,Male,Yes,Yes,24PetWatch,No,NA,4/3/2012,6y 8d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,6y 3m 10d,75,7/13/2018 6:49:01 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,7/13/2018 6:49:01 PM,93
A38277566,,Cat,Domestic Shorthair,Brown/White,Male,Yes,No,24PetWatch,No,NA,3/25/2016,2y 17d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,2y 1m 23d,25,5/18/2018 3:38:01 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,5/18/2018 3:38:01 PM,37
A38277567,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,Unknown,24PetWatch,No,NA,11/4/2012,5y 5m 7d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,5y 7m 20d,67,6/24/2018 2:50:53 PM,Rich Wilkinson,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Rich Wilkinson,6/24/2018 2:50:53 PM,74
A38277571,,Cat,Domestic Shorthair,Grey/White,Male,Yes,Yes,24PetWatch,No,NA,3/30/2014,4y 2m 12d,Ashley Matters,6/11/2018 3:02:36 PM,Return,Returned Adoption,Unwanted,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,4y 3m 8d,51,7/8/2018 4:07:04 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,7/8/2018 4:07:04 PM,27
A38277571,,Cat,Domestic Shorthair,Grey/White,Male,Yes,Yes,24PetWatch,No,NA,3/30/2014,4y 12d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4y 28d,48,4/27/2018 4:44:54 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,4/27/2018 4:44:54 PM,16
A38277574,,Cat,Domestic Shorthair,Grey/White,Female,Yes,Yes,24PetWatch,No,NA,4/3/2016,2y 8d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,2y 1m 14d,25,5/17/2018 4:30:35 PM,Angela Peterdi,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Oregon Avenue,NA,,NA,NA,Angela Peterdi,5/17/2018 4:30:35 PM,36
A38277581,,Cat,Domestic Shorthair,White/Orange,Male,Yes,Unknown,24PetWatch,No,NA,3/23/2016,2y 19d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,2y 25d,24,4/17/2018 4:38:55 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,4/17/2018 4:38:55 PM,6
A38277591,,Cat,Domestic Shorthair,Brown/White,Female,Yes,No,24PetWatch,No,NA,12/5/2017,4m 6d,Jill Sweeney,4/11/2018 12:39:21 PM,Transfer In,Non-Partner Trans In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 8d,4,4/13/2018 3:11:31 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,4/13/2018 3:11:31 PM,2
A38278726,,Cat,Domestic Shorthair,Brown/,Male,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 26d,2,6/5/2018 4:43:25 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/5/2018 4:43:25 PM,55
A38278731,,Cat,Domestic Shorthair,Brown/,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 26d,2,6/5/2018 4:34:37 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/5/2018 4:34:37 PM,55
A38278736,,Cat,Domestic Shorthair,Brown/,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 29d,2,6/8/2018 12:19:08 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/8/2018 12:19:08 PM,57
A38278745,,Cat,Domestic Shorthair,Brown/,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 26d,2,6/5/2018 4:34:37 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/5/2018 4:34:37 PM,55
A38278751,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 8d,5,8/18/2018 8:17:59 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/18/2018 8:17:59 PM,129
A38278757,,Cat,Domestic Shorthair,Brown/White,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 12d,5,8/22/2018 1:37:57 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/22/2018 1:37:57 PM,133
A38278760,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,No,24PetWatch,No,NA,3/10/2018,1m 1d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 12d,5,8/22/2018 1:37:57 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,8/22/2018 1:37:57 PM,133
A38278769,,Dog,"Chihuahua, Short Coat",Brown/White,Male,Yes,No,24PetWatch,No,NA,5/11/2017,11m 0d,Jill Sweeney,4/11/2018 1:46:28 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,,Injured,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 18d,12,5/29/2018 12:09:47 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,5/29/2018 12:09:47 PM,47
A38282357,,Dog,"Terrier, Staffordshire Bull",Grey/Tan,Female,Yes,No,24PetWatch,No,NA,1/6/2018,3m 5d,Angela Peterdi,4/11/2018 4:59:05 PM,Owner/Guardian Surrender,In Person Surrender to Shelter,Too Many Animals,Grays Ferry Avenue,Foster Care - General,NA,,Healthy,,,,,3m 17d,3,4/23/2018 10:02:54 AM,Sara Davidson,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Foster Care - General,NA,19145— South Philadelphia W,NA,NA,Sara Davidson,4/23/2018 10:02:54 AM,11
A38284184,,Cat,Domestic Longhair,Brown/Orange,Female,Yes,Yes,24PetWatch,No,NA,4/11/2016,2y 0d,Michelle Robinson,4/11/2018 10:10:41 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,2y 5m 21d,29,10/2/2018 5:20:39 PM,Ame Wiltzius,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,Kawaii Kitty Cafe,NA,,NA,NA,Ame Wiltzius,10/2/2018 5:20:39 PM,173
A38284722,,Cat,Domestic Shorthair,White/Grey,Female,Yes,Unknown,24PetWatch,No,NA,10/12/2017,6m 0d,Michelle Robinson,4/12/2018 8:55:25 AM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,6m 9d,6,4/21/2018 4:19:01 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,4/21/2018 4:19:01 PM,9
A38285454,,Cat,Domestic Shorthair,Black/White,Female,Yes,No,24PetWatch,No,NA,4/12/2016,2y 0d,Jill Sweeney,4/12/2018 10:16:25 AM,Stray,Project Meow,,Grays Ferry Avenue,Cat Room,NA,19143—Kingsessing SW,Healthy,,,,,2y 10d,24,4/22/2018 3:38:19 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Linda O'Brien,4/22/2018 3:38:19 PM,10
A38286099,,Dog,Australian Shepherd,Grey/White,Male,Yes,No,24PetWatch,No,NA,4/12/2014,4y 0d,Sara Davidson,4/12/2018 11:10:32 AM,Stray,Public Drop Off,,Grays Ferry Avenue,Kennel - Adoptions,NA,19143—Kingsessing SW,Healthy,,,,,4y 19d,48,5/1/2018 2:23:10 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,5/1/2018 2:23:10 PM,19
A38286622,,Cat,Domestic Shorthair,Black/,Female,Yes,Yes,24PetWatch,No,NA,4/12/2016,2y 0d,Rooney Linson,4/12/2018 11:48:03 AM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19145— South Philadelphia W,Healthy,,,,,2y 2m 18d,26,6/30/2018 11:37:07 AM,Kate Wysong,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Kate Wysong,6/30/2018 11:37:07 AM,79
A38288017,,Cat,Domestic Shorthair,Buff/White,Male,Yes,Yes,24PetWatch,No,NA,7/31/2013,4y 8m 15d,Sara Davidson,4/12/2018 1:17:27 PM,Stray,Public Drop Off,,Grays Ferry Avenue,Cat Room,NA,19104—University City,Healthy,,,,,5y 7m 1d,67,3/1/2019 6:28:00 PM,Meredyth Forbes,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Meredyth Forbes,3/1/2019 6:28:00 PM,323
A38290077,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,,,Maria Decker,4/12/2018 3:10:07 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,,NA,5/29/2018 2:00:44 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,5/29/2018 2:00:44 PM,46
A38290082,,Cat,Domestic Shorthair,White/Grey,Male,Yes,Yes,24PetWatch,No,NA,10/7/2017,6m 5d,Maria Decker,4/12/2018 3:10:07 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick & Injured,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,6m 26d,6,5/3/2018 3:04:24 PM,Kate Wysong,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Kate Wysong,5/3/2018 3:04:24 PM,21
A38290143,,Cat,Domestic Shorthair,White/Black,Female,Yes,No,24PetWatch,No,NA,4/10/2016,2y 2d,Maria Decker,4/12/2018 3:13:05 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 4m 15d,28,8/25/2018 11:37:25 AM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,8/25/2018 11:37:25 AM,134
A38290148,,Cat,Domestic Shorthair,White/Brown,Female,Yes,No,24PetWatch,No,NA,4/10/2018,2d,Maria Decker,4/12/2018 3:13:05 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4m 14d,4,8/24/2018 3:57:05 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,8/24/2018 3:57:05 PM,134
A38290157,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,4/11/2017,1y 1d,Maria Decker,4/12/2018 3:13:05 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 4m 13d,16,8/24/2018 3:02:03 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Foster Care - General,NA,,NA,NA,Steve Ciepiela,8/24/2018 3:02:03 PM,134
A38290159,,Cat,Domestic Shorthair,Black/Orange,Female,Yes,No,24PetWatch,No,NA,4/10/2018,2d,Maria Decker,4/12/2018 3:13:05 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4m 14d,4,8/24/2018 3:02:03 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Foster Care - General,NA,,NA,NA,Steve Ciepiela,8/24/2018 3:02:03 PM,134
A38291003,,Dog,Maltese,White/Blond,Female,Yes,No,24PetWatch,No,NA,6/7/2010,7y 10m 5d,Sara Davidson,4/12/2018 4:03:17 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Adoptions,NA,19131—Wynnefield/West Park,Healthy,ACCT Philly,ACCT Representative,(215) 426-6300,111 W Hunting Park Avenue  ,7y 11m 30d,95,6/6/2018 2:57:54 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,6/6/2018 2:57:54 PM,54
A38292911,,Cat,Domestic Shorthair,Brown/Orange,Female,Yes,No,24PetWatch,No,NA,3/1/2018,1m 11d,Michelle Robinson,4/12/2018 6:22:57 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,3m 20d,3,6/21/2018 5:25:35 PM,Linda O'Brien,Adoption,PAC,PAC,PAC,NA,,NA,NA,Linda O'Brien,6/21/2018 5:25:35 PM,69
A38292960,,Cat,Domestic Shorthair,Grey/Silver Black,Female,Yes,No,24PetWatch,No,NA,3/1/2018,1m 11d,Michelle Robinson,4/12/2018 6:28:17 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,3m 25d,3,6/26/2018 4:28:08 PM,Angela Peterdi,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Oregon Avenue,NA,,NA,NA,Angela Peterdi,6/26/2018 4:28:08 PM,74
A38293055,,Cat,Domestic Shorthair,Orange/Cream,Male,Yes,Yes,24PetWatch,No,NA,3/1/2018,3m 6d,Ame Wiltzius,6/7/2018 3:26:35 PM,Return,Returned Adoption,Allergic to Animal,PAC,PAC,NA,,Healthy,,,,,3m 9d,3,6/10/2018 11:27:07 AM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,6/10/2018 11:27:07 AM,2
A38293055,,Cat,Domestic Shorthair,Orange/Cream,Male,Yes,Yes,24PetWatch,No,NA,3/1/2018,1m 11d,Michelle Robinson,4/12/2018 6:38:47 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,2m 22d,2,5/23/2018 6:29:23 PM,Linda O'Brien,Adoption,PAC,PAC,PAC,NA,,NA,NA,Linda O'Brien,5/23/2018 6:29:23 PM,41
A38293099,,Cat,Domestic Shorthair,Black/White,Female,Yes,No,24PetWatch,No,NA,3/1/2018,1m 11d,Michelle Robinson,4/12/2018 6:43:58 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,3m 16d,3,6/17/2018 5:42:59 PM,Erica Henn,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Linda O'Brien,6/17/2018 5:42:59 PM,65
A38294597,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,4/13/2017,2y 3m 0d,Maria Decker,7/13/2019 3:40:31 PM,Return,Returned Adoption,Moving,Grant Avenue,Grant Avenue,NA,,Healthy,,,,,2y 3m 14d,27,7/27/2019 6:22:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,7/27/2019 6:22:00 PM,14
A38294597,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,4/13/2017,1y 0d,Michelle Robinson,4/13/2018 9:37:47 AM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,1y 24d,12,5/7/2018 4:17:43 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Cat Room,NA,,NA,NA,Ashley Matters,5/7/2018 4:17:43 PM,24
A38298742,,Cat,Domestic Shorthair,Brown/Black,Male,Yes,Yes,24PetWatch,No,NA,4/13/2014,4y 0d,Rooney Linson,4/13/2018 2:21:09 PM,Stray,Project Meow,,Grays Ferry Avenue,Cat Room,NA,19143—Kingsessing SW,Healthy,,,,,4y 2m 3d,50,6/16/2018 11:13:14 AM,Rich Wilkinson,Adoption,PAC,PAC,Kawaii Kitty Cafe,NA,,NA,NA,Rich Wilkinson,6/16/2018 11:13:14 AM,63
A38299414,,Cat,Domestic Shorthair,Orange/Grey,Female,Yes,Yes,24PetWatch,No,NA,11/8/2017,5m 5d,Rooney Linson,4/13/2018 2:56:22 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Cat Room,NA,19140—Nicetown,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 12d,5,4/20/2018 4:28:33 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,4/20/2018 4:28:33 PM,7
A38299569,,Cat,Domestic Shorthair,Orange/,Male,Yes,Yes,24PetWatch,No,NA,4/13/2011,7y 0d,Rooney Linson,4/13/2018 3:04:10 PM,Stray,Project Meow,,Grays Ferry Avenue,Cat Room,NA,19143—Kingsessing SW,Healthy,,,,,7y 27d,84,5/10/2018 3:48:29 PM,Erica Henn,Adoption,PAC,PAC,PAC,NA,,NA,NA,Erica Henn,5/10/2018 3:48:29 PM,27
A38305547,,Cat,Domestic Shorthair,Orange/,Male,Yes,Unknown,24PetWatch,No,NA,12/14/2017,4m 0d,Michelle Robinson,4/14/2018 12:51:22 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,4m 25d,4,5/9/2018 6:44:48 PM,Tomas Santana,Adoption,PAC,PAC,PAC,NA,,NA,NA,Tomas Santana,5/9/2018 6:44:48 PM,25
A38305855,,Cat,Domestic Shorthair,Orange/White,Male,Yes,No,24PetWatch,No,NA,4/14/2014,4y 0d,Rooney Linson,4/14/2018 2:48:21 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,North Philadelphia,Sick,Cumberland County SPCA,Maria Stoerrle,(856) 691-1500,1244 N Delsea Drive  ,4y 2m 17d,50,7/1/2018 3:19:49 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,7/1/2018 3:19:49 PM,78
A38305875,,Cat,Domestic Shorthair,White/Brown,Female,Yes,Yes,24PetWatch,No,NA,4/14/2010,8y 0d,Rooney Linson,4/14/2018 2:48:20 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,North Philadelphia,Sick,Cumberland County SPCA,Maria Stoerrle,(856) 691-1500,1244 N Delsea Drive  ,8y 10m 12d,106,2/26/2019 2:11:00 PM,Jason Martinez,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Ashley Matters,2/26/2019 2:11:00 PM,318
A38305902,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,12/16/2017,3m 29d,Rooney Linson,4/14/2018 2:48:20 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,North Philadelphia,Sick,Cumberland County SPCA,Maria Stoerrle,(856) 691-1500,1244 N Delsea Drive  ,5m 13d,5,5/29/2018 1:43:30 PM,Angela Peterdi,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Oregon Avenue,NA,,NA,NA,Angela Peterdi,5/29/2018 1:43:30 PM,44
A38305906,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,12/16/2017,3m 29d,Rooney Linson,4/14/2018 2:48:20 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,North Philadelphia,Sick,Cumberland County SPCA,Maria Stoerrle,(856) 691-1500,1244 N Delsea Drive  ,4m 26d,4,5/12/2018 3:38:48 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,5/12/2018 3:38:48 PM,28
A38305913,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,12/16/2017,3m 29d,Rooney Linson,4/14/2018 2:48:20 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,North Philadelphia,Sick,Cumberland County SPCA,Maria Stoerrle,(856) 691-1500,1244 N Delsea Drive  ,4m 26d,4,5/12/2018 1:47:13 PM,Tomas Santana,Adoption,PAC,PAC,PAC,NA,,NA,NA,Tomas Santana,5/12/2018 1:47:13 PM,27
A38309064,,Cat,Domestic Shorthair,Orange/White,Male,Yes,No,24PetWatch,No,NA,7/15/2017,9m 0d,Michelle Robinson,4/15/2018 12:45:10 AM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,10m 4d,10,5/19/2018 5:52:04 PM,Rich Wilkinson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Rich Wilkinson,5/19/2018 5:52:04 PM,34
A38319974,,Dog,"Terrier, Pit Bull",Tan/White,Male,Yes,Yes,24PetWatch,No,NA,3/22/2016,2y 25d,Sara Davidson,4/16/2018 5:30:45 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Holding,NA,19124—Frankford NE,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2y 1m 18d,25,5/10/2018 7:05:26 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,5/10/2018 7:05:26 PM,24
A38320047,,Dog,Bichon Frise,Black/White,Male,Yes,No,24PetWatch,No,NA,4/16/2015,3y 0d,Sara Davidson,4/16/2018 5:37:04 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Holding,NA,North Philadelphia,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3y 3d,36,4/19/2018 2:22:06 PM,Lauren Campagnini,Adoption,PAC,PAC,PAC,NA,,NA,NA,Lauren Campagnini,4/19/2018 2:22:06 PM,2
A38320194,,Dog,"Chihuahua, Short Coat",Black/Brown,Male,Yes,No,24PetWatch,No,NA,4/12/2007,11y 4d,Sara Davidson,4/16/2018 5:53:12 PM,Transfer In,Partner Transfer In,Rescue,PAWS Foster Program,Kennel - Holding,NA,19124—Frankford NE,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,11y 3m 6d,135,7/18/2018 5:32:54 PM,Sara Davidson,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Foster Care - General,NA,19103—Center City W,NA,NA,Sara Davidson,7/18/2018 5:32:54 PM,93
